Pixel,Intensity
0,2.387695e+01
1,2.338867e+01
2,2.341309e+01
3,2.338867e+01
4,2.326660e+01
5,2.329102e+01
6,2.331543e+01
7,2.333984e+01
8,2.331543e+01
9,2.326660e+01
10,2.336426e+01
11,2.333984e+01
12,2.333984e+01
13,2.331543e+01
14,2.338867e+01
15,2.338867e+01
16,2.333984e+01
17,2.351074e+01
18,2.358398e+01
19,2.338867e+01
20,2.336426e+01
21,2.346191e+01
22,2.355957e+01
23,2.338867e+01
24,2.343750e+01
25,2.353516e+01
26,2.363281e+01
27,2.360840e+01
28,2.365723e+01
29,2.358398e+01
30,2.358398e+01
31,2.363281e+01
32,2.351074e+01
33,2.370605e+01
34,2.382812e+01
35,2.368164e+01
36,2.355957e+01
37,2.348633e+01
38,2.348633e+01
39,2.353516e+01
40,2.351074e+01
41,2.348633e+01
42,2.363281e+01
43,2.370605e+01
44,2.353516e+01
45,2.353516e+01
46,2.365723e+01
47,2.363281e+01
48,2.365723e+01
49,2.360840e+01
50,2.368164e+01
51,2.360840e+01
52,2.358398e+01
53,2.353516e+01
54,2.360840e+01
55,2.360840e+01
56,2.353516e+01
57,2.355957e+01
58,2.360840e+01
59,2.363281e+01
60,2.358398e+01
61,2.365723e+01
62,2.360840e+01
63,2.373047e+01
64,2.355957e+01
65,2.358398e+01
66,2.368164e+01
67,2.355957e+01
68,2.368164e+01
69,2.370605e+01
70,2.363281e+01
71,2.363281e+01
72,2.360840e+01
73,2.375488e+01
74,2.370605e+01
75,2.377930e+01
76,2.365723e+01
77,2.370605e+01
78,2.370605e+01
79,2.380371e+01
80,2.370605e+01
81,2.370605e+01
82,2.380371e+01
83,2.373047e+01
84,2.365723e+01
85,2.377930e+01
86,2.377930e+01
87,2.373047e+01
88,2.373047e+01
89,2.380371e+01
90,2.358398e+01
91,2.375488e+01
92,2.370605e+01
93,2.373047e+01
94,2.377930e+01
95,2.375488e+01
96,2.377930e+01
97,2.377930e+01
98,2.387695e+01
99,2.382812e+01
100,2.370605e+01
101,2.390137e+01
102,2.382812e+01
103,2.382812e+01
104,2.382812e+01
105,2.382812e+01
106,2.375488e+01
107,2.385254e+01
108,2.382812e+01
109,2.392578e+01
110,2.387695e+01
111,2.385254e+01
112,2.377930e+01
113,2.392578e+01
114,2.390137e+01
115,2.392578e+01
116,2.399902e+01
117,2.390137e+01
118,2.399902e+01
119,2.395020e+01
120,2.397461e+01
121,2.397461e+01
122,2.385254e+01
123,2.399902e+01
124,2.390137e+01
125,2.392578e+01
126,2.390137e+01
127,2.390137e+01
128,2.380371e+01
129,2.387695e+01
130,2.387695e+01
131,2.385254e+01
132,2.377930e+01
133,2.387695e+01
134,2.390137e+01
135,2.387695e+01
136,2.395020e+01
137,2.395020e+01
138,2.385254e+01
139,2.407227e+01
140,2.390137e+01
141,2.387695e+01
142,2.397461e+01
143,2.399902e+01
144,2.395020e+01
145,2.412109e+01
146,2.392578e+01
147,2.392578e+01
148,2.390137e+01
149,2.402344e+01
150,2.390137e+01
151,2.390137e+01
152,2.397461e+01
153,2.395020e+01
154,2.399902e+01
155,2.395020e+01
156,2.395020e+01
157,2.392578e+01
158,2.395020e+01
159,2.397461e+01
160,2.385254e+01
161,2.395020e+01
162,2.392578e+01
163,2.397461e+01
164,2.402344e+01
165,2.397461e+01
166,2.407227e+01
167,2.407227e+01
168,2.382812e+01
169,2.392578e+01
170,2.399902e+01
171,2.397461e+01
172,2.395020e+01
173,2.397461e+01
174,2.399902e+01
175,2.395020e+01
176,2.395020e+01
177,2.399902e+01
178,2.395020e+01
179,2.402344e+01
180,2.397461e+01
181,2.392578e+01
182,2.390137e+01
183,2.407227e+01
184,2.402344e+01
185,2.395020e+01
186,2.404785e+01
187,2.397461e+01
188,2.395020e+01
189,2.407227e+01
190,2.395020e+01
191,2.407227e+01
192,2.404785e+01
193,2.407227e+01
194,2.390137e+01
195,2.407227e+01
196,2.402344e+01
197,2.409668e+01
198,2.409668e+01
199,2.407227e+01
200,2.412109e+01
201,2.419434e+01
202,2.421875e+01
203,2.419434e+01
204,2.419434e+01
205,2.419434e+01
206,2.409668e+01
207,2.419434e+01
208,2.416992e+01
209,2.416992e+01
210,2.416992e+01
211,2.419434e+01
212,2.407227e+01
213,2.409668e+01
214,2.407227e+01
215,2.412109e+01
216,2.397461e+01
217,2.419434e+01
218,2.395020e+01
219,2.412109e+01
220,2.412109e+01
221,2.416992e+01
222,2.404785e+01
223,2.409668e+01
224,2.409668e+01
225,2.399902e+01
226,2.404785e+01
227,2.414551e+01
228,2.414551e+01
229,2.414551e+01
230,2.409668e+01
231,2.426758e+01
232,2.426758e+01
233,2.421875e+01
234,2.429199e+01
235,2.436523e+01
236,2.426758e+01
237,2.451172e+01
238,2.438965e+01
239,2.443848e+01
240,2.436523e+01
241,2.446289e+01
242,2.453613e+01
243,2.448730e+01
244,2.463379e+01
245,2.441406e+01
246,2.456055e+01
247,2.465820e+01
