Pixel,Intensity
0,6.330827e-01
1,1.000000e+00
2,9.794486e-01
3,9.769424e-01
4,9.759398e-01
5,9.874687e-01
6,9.794486e-01
7,9.719298e-01
8,9.749373e-01
9,9.759398e-01
10,9.834586e-01
11,9.734336e-01
12,9.814536e-01
13,9.739348e-01
14,9.839599e-01
15,9.779449e-01
16,9.699248e-01
17,9.724311e-01
18,9.724311e-01
19,9.704261e-01
20,9.769424e-01
21,9.669173e-01
22,9.704261e-01
23,9.749373e-01
24,9.669173e-01
25,9.709273e-01
26,9.679198e-01
27,9.694236e-01
28,9.684211e-01
29,9.709273e-01
30,9.644110e-01
31,9.669173e-01
32,9.644110e-01
33,9.593985e-01
34,9.639098e-01
35,9.553885e-01
36,9.538847e-01
37,9.639098e-01
38,9.674185e-01
39,9.573935e-01
40,9.538847e-01
41,9.563910e-01
42,9.684211e-01
43,9.573935e-01
44,9.473684e-01
45,9.523810e-01
46,9.588972e-01
47,9.548872e-01
48,9.528822e-01
49,9.398496e-01
50,9.563910e-01
51,9.488722e-01
52,9.619048e-01
53,9.548872e-01
54,9.568922e-01
55,9.583960e-01
56,9.538847e-01
57,9.548872e-01
58,9.478697e-01
59,9.398496e-01
60,9.699248e-01
61,9.789474e-01
62,9.609023e-01
63,9.353383e-01
64,9.298246e-01
65,9.533835e-01
66,9.669173e-01
67,9.548872e-01
68,9.553885e-01
69,9.538847e-01
70,9.513784e-01
71,9.458647e-01
72,9.533835e-01
73,9.438596e-01
74,9.483709e-01
75,9.408521e-01
76,9.408521e-01
77,9.503759e-01
78,9.448622e-01
79,9.488722e-01
80,9.528822e-01
81,9.428571e-01
82,9.493734e-01
83,9.518797e-01
84,9.443609e-01
85,9.498747e-01
86,9.473684e-01
87,9.448622e-01
88,9.513784e-01
89,9.518797e-01
90,9.478697e-01
91,9.408521e-01
92,9.388471e-01
93,9.403509e-01
94,9.518797e-01
95,9.518797e-01
96,9.518797e-01
97,9.293233e-01
98,9.358396e-01
99,9.378446e-01
100,9.413534e-01
101,9.398496e-01
102,9.448622e-01
103,9.408521e-01
104,9.408521e-01
105,9.438596e-01
106,9.428571e-01
107,9.413534e-01
108,9.358396e-01
109,9.298246e-01
110,9.413534e-01
111,9.378446e-01
112,9.403509e-01
113,9.373434e-01
114,9.348371e-01
115,9.303258e-01
116,9.318296e-01
117,9.373434e-01
118,9.438596e-01
